异常码（ErrorCode）,异常类型,具体类型,模块,错误id,异常描述,HTTP状态码,解决方案,创建时间,最后更新,负责人,备注
RES-REQUEST-1001,RES,REQUEST,,"1,001",接口不存在,404,请确认访问的接口路径后重试。,2025/10/17,2025/10/17,@年华✨,
AUTH-REQUEST-1001,AUTH,REQUEST,,"1,001",未检测到用户IP地址,403,请通过开放的网关地址访问。,2025/10/17,2025/10/17,@年华✨,
RES-REQUEST-1004,RES,REQUEST,,"1,004",请求时未携带REQUEST-ID,500,请通过开放的网关地址访问。,2025/10/17,2025/10/17,@年华✨,
SYS-REQUEST-1001,SYS,REQUEST,,"1,001",未知异常,500,请联系后端负责人反馈。,2025/10/17,2025/10/17,@年华✨,
VAL-REQUEST-OSS-1001,VAL,REQUEST,OSS,"1,001",未检测到上传文件,400,请确认前端表单字段名称与后端接口一致。,2025/10/17,2025/10/17,@年华✨,
SYS-IO-OSS-1001,SYS,IO,OSS,"1,001",文件存储服务不可用或连接异常,503,请联系后端负责人反馈。,2025/10/17,2025/10/17,@年华✨,
VAL-REQUEST-OSS-1002,VAL,REQUEST,OSS,"1,002",文件内容为空,422,请确认文件实际大小，避免空文件上传。,2025/10/17,2025/10/17,@年华✨,
VAL-PARAM-AUTH-1001,VAL,PARAM,AUTH,"1,001",loginType字段为空,422,请确认请求参数，确保包含loginType字段并指定登录类型。,2025/10/20,2025/10/20,@年华✨,
VAL-RANGE-AUTH-1001,VAL,RANGE,AUTH,"1,001",loginType字段范围错误,422,请确认传入的loginType字段合法。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1002,VAL,PARAM,AUTH,"1,002",username字段为空,422,用户名登录方式必须提供username字段。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1003,VAL,PARAM,AUTH,"1,003",email字段为空,422,邮箱登录方式必须提供email字段。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1004,VAL,PARAM,AUTH,"1,004",password字段为空,422,所有登录方式都必须提供password字段。,2025/10/20,2025/10/20,@年华✨,
VAL-FORMAT-AUTH-1001,VAL,FORMAT,AUTH,"1,001",email格式错误,422,请检查邮箱格式是否正确。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1002,AUTH,REQUEST,,"1,002",用户名或密码错误,401,请检查用户名和密码是否正确。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1003,AUTH,REQUEST,,"1,003",邮箱或密码错误,401,请检查邮箱和密码是否正确。,2025/10/20,2025/10/20,@年华✨,
AUTH-ACCOUNT-1001,AUTH,ACCOUNT,,"1,001",账户状态异常,403,请联系管理员检查账户状态。,2025/10/20,2025/10/20,@年华✨,
AUTH-ACCOUNT-1002,AUTH,ACCOUNT,,"1,002",账户状态异常（短时间登录失败次数过多被锁定）,429,您的账户由于短时间内连续登录失败次数过多被暂时冻结，请等待冻结时间结束后重试。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1005,VAL,PARAM,AUTH,"1,005",cardUuid字段为空,422,工牌认证必须提供cardUuid字段。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1004,AUTH,REQUEST,,"1,004",工牌不存在或已失效,401,请重新刷卡或联系管理员重新激活工牌。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1006,VAL,PARAM,AUTH,"1,006",verificationId字段为空,422,二步验证需要vertificationId，请先完成第一步认证获取验证id。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1007,VAL,PARAM,AUTH,"1,007",pin字段为空,422,二步验证必须提供PIN码。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1005,AUTH,REQUEST,,"1,005",二步验证id无效或已过期,401,二步验证有效期为5分钟，请重新通过第一步认证获取验证id。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1006,AUTH,REQUEST,,"1,006",PIN码不匹配,401,请检查PIN码输入是否正确。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-AUTH-1008,VAL,PARAM,AUTH,"1,008",accessToken字段为空,422,令牌刷新操作需要提供有效的AccessToken。,2025/10/20,2025/10/20,@年华✨,
AUTH-REQUEST-1007,AUTH,REQUEST,,"1,007",刷新令牌已失效,401,请重新登录以获取有效的刷新令牌。,2025/10/20,2025/10/20,@年华✨,
VAL-PARAM-USER-1001,VAL,PARAM,USER,"1,001",userId字段为空,422,,2025/10/21,2025/10/21,@年华✨,
VAL-PARAM-USER-1002,VAL,PARAM,USER,"1,002",password字段为空,422,,2025/10/21,2025/10/21,@年华✨,
AUTH-REQUEST-1008,AUTH,REQUEST,,"1,008",密码校验失败,401,,2025/10/21,2025/10/21,@年华✨,
VAL-REQUEST-1001,VAL,REQUEST,,"1,001",请求体解析失败,400,,2025/10/21,2025/10/21,@年华✨,
RES-REQUEST-1002,RES,REQUEST,,"1,002",请求方法不可用,405,,2025/10/21,2025/10/21,@年华✨,
AUTH-REQUEST-1009,AUTH,REQUEST,,"1,009",访问令牌解析失败,401,,2025/10/21,2025/10/21,@年华✨,
AUTH-REQUEST-1010,AUTH,REQUEST,,"1,010",访问令牌为空,401,,2025/10/21,2025/10/21,@年华✨,
AUTH-REQUEST-1011,AUTH,REQUEST,,"1,011",访问令牌已过期,419,,2025/10/21,2025/10/21,@年华✨,
VAL-RANGE-OSS-1001,VAL,RANGE,OSS,"1,001",MinIO临时访问链接有效期超出范围,422,,2025/10/21,2025/10/21,@年华✨,
SYS-IO-OSS-1002,SYS,IO,OSS,"1,002",获取MinIO临时访问链接异常,500,,2025/10/21,2025/10/21,@年华✨,
SYS-IO-OSS-1003,SYS,IO,OSS,"1,003",获取MinIO文件状态异常,500,,2025/10/21,2025/10/21,@年华✨,
SYS-IO-OSS-1004,SYS,IO,OSS,"1,004",上传文件到MinIO失败,500,,2025/10/21,2025/10/21,@年华✨,
SYS-IO-OSS-1005,SYS,IO,OSS,"1,005",删除MinIO文件失败,500,,2025/10/21,2025/10/21,@年华✨,
VAL-FORMAT-AUTH-1002,VAL,FORMAT,AUTH,"1,002",cardUuid格式错误,422,,2025/10/22,2025/10/22,@年华✨,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
