"端/设备
",主功能,一级功能,二级功能,功能描述,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
移动端,登录页,登录,邮箱登录,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFC刷卡登录,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN 登录,输入框（4-6 位）+ 显示/隐藏切换，登录失败计数提示（错误 5 次锁定）-错误 5 次后账号锁定并提示联系管理员。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首页,KPI 看板,库存总量/今日报警/巡检状态/设备在线数,"库存总量、今日报警数、巡检进度、设备在线数；
未处理告警列表（横向滚动、点击进入告警详情）；
当前任务快捷卡（显示任务名、进度、开始/暂停按钮）","说明：顶部卡片式摘要，点击跳转到对应详情页。
核心接口：GET /dashboard/summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未处理告警,显示告警信息,按优先级列出 3~5 条最近未处理告警，支持一键进入告警详情或快速确认。,接口：GET /alarms?status=open，POST /alarms/{id}/ack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快速扫码 / 快速绑定,,卡片形式展示，用于进入扫描（相机/NFC）与直接绑定流程。,"首页布局建议（视觉与交互）
顶部：搜索栏 + 通知小铃铛 + 网络/队列状态（离线：红色徽章）
第一屏（卡片行）：KPI 看板（4 块）
第二屏（左右两列或滚动区）：未处理告警、当前任务卡、当日盘点进度（汇总）
第三屏：最近差异（每条支持滑动操作：标为已处理/发起复核）
底部悬浮：快速扫码/绑定按钮（全局可见）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最近差异 / 待复核列表,,列出最近产生的差异条目（缺失/多余/移位），支持一键进入复核页或快速标记“已处理”。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快捷物料/房间搜索,,顶部或卡片内的搜索，输入资产名/房间快速跳转到详情或盘点页面。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应用,扫描中心,绑定/新建资产/入库/出库,"绑定：物品已在系统建档但还没贴标签或标签要更换时；
新建资产：新进物品、耗材第一次贴标或偶发未登记物品；
入库：接收物品时、补盘时确认新物品已入库；
出库：操作员发起借用或搬出，记录物品被带出（借用/领用/出货），减少库存并生成出库流水；若未审批则触发告警或阻止。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
标签绑定,单个绑定模式,扫描到 tag 后选择现有资产或创建新资产并绑定（支持拍照、填写数量、房间）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
批量绑定模式,批量绑定模式（扫描 N 个 tag，依次选择/自动匹配）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
差异复核,展示待复核差异列表（filter：缺失/多余/移位/未识别）,确认（标为已处理）、补录（新建资产）、移位（更改 location）、发起复核任务、添加备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我的,个人信息,头像、姓名、职务,"显示姓名/角色//头像
编辑个人信息",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
修改密码,修改登录密码,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
退出登录,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后端,身份认证与安全,NFC工牌 + PIN 登录,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,角色与权限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,设备接入与配置,RFID读写器接入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小车设备管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,出入口实时稽核,RFID-视频一致性，事件与抓拍绑定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,读写器在线监测，多通道接入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,违规移动检测，未出库标签穿越门禁触发报…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,入库,"入库单与货位绑定",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,单件入库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,批量入库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,单件出库,NFC触碰出库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,条码出库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,巡检小车自动盘点,RFID批量读取与去重,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,巡检结果回传与告警联动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,预设路线与任务计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,报表,库存台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,对账报表与差异分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
